Percent,Sample,Time,Healthy,Infected,Dead
0.0,1,0.0,0.990375,0.009625,0.0
0.0,1,0.1,0.990375,0.009625,0.0
0.0,1,0.2,0.990375,0.009625,0.0
0.0,1,0.3,0.990375,0.009625,0.0
0.0,1,0.4,0.990375,0.009625,0.0
0.0,1,0.5,0.990375,0.009625,0.0
0.0,1,0.6,0.98815,0.01185,0.0
0.0,1,0.7,0.9876,0.0124,0.0
0.0,1,0.8,0.986575,0.013425,0.0
0.0,1,0.9,0.9852,0.0148,0.0
0.0,1,1.0,0.98315,0.01685,0.0
0.0,1,1.1,0.980975,0.019025,0.0
0.0,1,1.2,0.979125,0.020875,0.0
0.0,1,1.3,0.976425,0.023575,0.0
0.0,1,1.4,0.9727,0.0273,0.0
0.0,1,1.5,0.968625,0.031375,0.0
0.0,1,1.6,0.963375,0.036625,0.0
0.0,1,1.7,0.960075,0.039925,0.0
0.0,1,1.8,0.95685,0.04315,0.0
0.0,1,1.9,0.9554,0.0446,0.0
0.0,1,2.0,0.952875,0.047125,0.0
0.0,1,2.1,0.9508,0.0492,0.0
0.0,1,2.2,0.9479,0.0521,0.0
0.0,1,2.3,0.944975,0.055025,0.0
0.0,1,2.4,0.9419,0.0581,0.0
0.0,1,2.5,0.93815,0.06185,0.0
0.0,1,2.6,0.93615,0.06385,0.0
0.0,1,2.7,0.933475,0.066525,0.0
0.0,1,2.8,0.9304,0.0696,0.0
0.0,1,2.9,0.9281,0.0719,0.0
0.0,1,3.0,0.92425,0.07575,0.0
0.0,1,3.1,0.9211,0.0789,0.0
0.0,1,3.2,0.9176,0.0824,0.0
0.0,1,3.3,0.91555,0.08445,0.0
0.0,1,3.4,0.912025,0.087975,0.0
0.0,1,3.5,0.909325,0.090675,0.0
0.0,1,3.6,0.904825,0.095175,0.0
0.0,1,3.7,0.900175,0.099825,0.0
0.0,1,3.8,0.8972,0.1028,0.0
0.0,1,3.9,0.893425,0.106575,0.0
0.0,1,4.0,0.888825,0.111175,0.0
0.0,1,4.1,0.885,0.115,0.0
0.0,1,4.2,0.881025,0.118975,0.0
0.0,1,4.3,0.878,0.122,0.0
0.0,1,4.4,0.875075,0.124925,0.0
0.0,1,4.5,0.871725,0.128275,0.0
0.0,1,4.6,0.867975,0.132025,0.0
0.0,1,4.7,0.8648,0.1352,0.0
0.0,1,4.8,0.861025,0.138975,0.0
0.0,1,4.9,0.857075,0.142925,0.0
0.0,1,5.0,0.8528,0.1472,0.0
0.0,1,5.1,0.848575,0.151425,0.0
0.0,1,5.2,0.844325,0.155675,0.0
0.0,1,5.3,0.839825,0.160175,0.0
0.0,1,5.4,0.8351,0.1649,0.0
0.0,1,5.5,0.831575,0.168425,0.0
0.0,1,5.6,0.827175,0.1728,2.5e-5
0.0,1,5.7,0.823175,0.1768,2.5e-5
0.0,1,5.8,0.818525,0.1814,7.5e-5
0.0,1,5.9,0.812925,0.186975,0.0001
0.0,1,6.0,0.808675,0.1912,0.000125
0.0,1,6.1,0.803525,0.19625,0.000225
0.0,1,6.2,0.798575,0.201175,0.00025
0.0,1,6.3,0.793675,0.205975,0.00035
0.0,1,6.4,0.78925,0.210325,0.000425
0.0,1,6.5,0.784775,0.214675,0.00055
0.0,1,6.6,0.7791,0.220175,0.000725
0.0,1,6.7,0.77455,0.2245,0.00095
0.0,1,6.8,0.77,0.228775,0.001225
0.0,1,6.9,0.76465,0.233825,0.001525
0.0,1,7.0,0.7578,0.240475,0.001725
0.0,1,7.1,0.75245,0.2456,0.00195
0.0,1,7.2,0.74665,0.25085,0.0025
0.0,1,7.3,0.74205,0.255125,0.002825
0.0,1,7.4,0.73735,0.259225,0.003425
0.0,1,7.5,0.73185,0.263975,0.004175
0.0,1,7.6,0.72665,0.268575,0.004775
0.0,1,7.7,0.721475,0.273025,0.0055
0.0,1,7.8,0.71695,0.276775,0.006275
0.0,1,7.9,0.711525,0.2813,0.007175
0.0,1,8.0,0.7061,0.28575,0.00815
0.0,1,8.1,0.700225,0.29055,0.009225
0.0,1,8.2,0.695,0.294475,0.010525
0.0,1,8.3,0.690525,0.29775,0.011725
0.0,1,8.4,0.685525,0.301475,0.013
0.0,1,8.5,0.68,0.30535,0.01465
0.0,1,8.6,0.67345,0.310075,0.016475
0.0,1,8.7,0.66735,0.31425,0.0184
0.0,1,8.8,0.6624,0.316925,0.020675
0.0,1,8.9,0.657125,0.320275,0.0226
0.0,1,9.0,0.651575,0.32405,0.024375
0.0,1,9.1,0.646475,0.326925,0.0266
0.0,1,9.2,0.6406,0.330725,0.028675
0.0,1,9.3,0.635375,0.333725,0.0309
0.0,1,9.4,0.6305,0.33595,0.03355
0.0,1,9.5,0.62485,0.339725,0.035425
0.0,1,9.6,0.61985,0.3425,0.03765
0.0,1,9.7,0.613625,0.34645,0.039925
0.0,1,9.8,0.609,0.348475,0.042525
0.0,1,9.9,0.603,0.351525,0.045475
0.0,1,10.0,0.596525,0.354625,0.04885
0.0,1,10.1,0.590575,0.357425,0.052
0.0,1,10.2,0.5856,0.35935,0.05505
0.0,1,10.3,0.579475,0.363075,0.05745
0.0,1,10.4,0.573925,0.365625,0.06045
0.0,1,10.5,0.5691,0.3675,0.0634
