Percent,Sample,Time,Healthy,Infected,Dead
0.0,1.0,0.0,0.988,0.012,0.0
0.0,1.0,0.1,0.988,0.012,0.0
0.0,1.0,0.2,0.988,0.012,0.0
0.0,1.0,0.3,0.988,0.012,0.0
0.0,1.0,0.4,0.988,0.012,0.0
0.0,1.0,0.5,0.988,0.012,0.0
0.0,1.0,0.6,0.988,0.012,0.0
0.0,1.0,0.7,0.988,0.012,0.0
0.0,1.0,0.8,0.9816,0.0184,0.0
0.0,1.0,0.9,0.976,0.024,0.0
0.0,1.0,1.0,0.9676,0.0324,0.0
0.0,1.0,1.1,0.9676,0.0324,0.0
0.0,1.0,1.2,0.9676,0.0324,0.0
0.0,1.0,1.3,0.9644,0.0356,0.0
0.0,1.0,1.4,0.9644,0.0356,0.0
0.0,1.0,1.5,0.9644,0.0356,0.0
0.0,1.0,1.6,0.9592,0.0408,0.0
0.0,1.0,1.7,0.9564,0.0436,0.0
0.0,1.0,1.8,0.9564,0.0436,0.0
0.0,1.0,1.9,0.9564,0.0436,0.0
0.0,1.0,2.0,0.9564,0.0436,0.0
0.0,1.0,2.1,0.9564,0.0436,0.0
0.0,1.0,2.2,0.95,0.05,0.0
0.0,1.0,2.3,0.9476,0.0524,0.0
0.0,1.0,2.4,0.9456,0.0544,0.0
0.0,1.0,2.5,0.9436,0.0564,0.0
0.0,1.0,2.6,0.9372,0.0628,0.0
0.0,1.0,2.7,0.9336,0.0664,0.0
0.0,1.0,2.8,0.9224,0.0776,0.0
0.0,1.0,2.9,0.9168,0.0832,0.0
0.0,1.0,3.0,0.9168,0.0832,0.0
0.0,1.0,3.1,0.9056,0.0944,0.0
0.0,1.0,3.2,0.9044,0.0956,0.0
0.0,1.0,3.3,0.9004,0.0996,0.0
0.0,1.0,3.4,0.9004,0.0996,0.0
0.0,1.0,3.5,0.8948,0.1052,0.0
0.0,1.0,3.6,0.8896,0.1104,0.0
0.0,1.0,3.7,0.8824,0.1176,0.0
0.0,1.0,3.8,0.8812,0.1188,0.0
0.0,1.0,3.9,0.8784,0.1216,0.0
0.0,1.0,4.0,0.8764,0.1236,0.0
0.0,1.0,4.1,0.8764,0.1236,0.0
0.0,1.0,4.2,0.8724,0.1276,0.0
0.0,1.0,4.3,0.8676,0.1324,0.0
0.0,1.0,4.4,0.866,0.134,0.0
0.0,1.0,4.5,0.8648,0.1352,0.0
0.0,1.0,4.6,0.8608,0.1392,0.0
0.0,1.0,4.7,0.8564,0.1436,0.0
0.0,1.0,4.8,0.8484,0.1516,0.0
0.0,1.0,4.9,0.8436,0.1564,0.0
0.0,1.0,5.0,0.8388,0.1612,0.0
0.0,1.0,5.1,0.834,0.166,0.0
0.0,1.0,5.2,0.83,0.17,0.0
0.0,1.0,5.3,0.824,0.176,0.0
0.0,1.0,5.4,0.8172,0.1828,0.0
