Percent,Sample,Time,Healthy,Infected,Dead
0.0,1,0.0,0.9897,0.0103,0.0
0.0,1,0.1,0.989575,0.010425,0.0
0.0,1,0.2,0.989575,0.010425,0.0
0.0,1,0.3,0.989575,0.010425,0.0
0.0,1,0.4,0.989575,0.010425,0.0
0.0,1,0.5,0.98905,0.01095,0.0
0.0,1,0.6,0.9876,0.0124,0.0
0.0,1,0.7,0.985775,0.014225,0.0
0.0,1,0.8,0.984375,0.015625,0.0
0.0,1,0.9,0.981875,0.018125,0.0
0.0,1,1.0,0.981125,0.018875,0.0
0.0,1,1.1,0.9781,0.0219,0.0
0.0,1,1.2,0.975425,0.024575,0.0
0.0,1,1.3,0.9722,0.0278,0.0
0.0,1,1.4,0.971125,0.028875,0.0
0.0,1,1.5,0.967125,0.032875,0.0
0.0,1,1.6,0.9642,0.0358,0.0
0.0,1,1.7,0.960675,0.039325,0.0
0.0,1,1.8,0.957275,0.042725,0.0
0.0,1,1.9,0.9535,0.0465,0.0
0.0,1,2.0,0.9511,0.0489,0.0
0.0,1,2.1,0.947575,0.052425,0.0
0.0,1,2.2,0.94445,0.05555,0.0
0.0,1,2.3,0.941975,0.058025,0.0
0.0,1,2.4,0.9393,0.0607,0.0
0.0,1,2.5,0.936175,0.063825,0.0
0.0,1,2.6,0.9345,0.0655,0.0
0.0,1,2.7,0.93215,0.06785,0.0
0.0,1,2.8,0.92835,0.07165,0.0
0.0,1,2.9,0.92585,0.07415,0.0
0.0,1,3.0,0.923275,0.076725,0.0
0.0,1,3.1,0.921275,0.078725,0.0
0.0,1,3.2,0.918625,0.081375,0.0
0.0,1,3.3,0.91605,0.08395,0.0
0.0,1,3.4,0.912,0.088,0.0
0.0,1,3.5,0.9086,0.0914,0.0
0.0,1,3.6,0.905075,0.094925,0.0
0.0,1,3.7,0.90255,0.09745,0.0
0.0,1,3.8,0.8988,0.1012,0.0
0.0,1,3.9,0.895925,0.104075,0.0
0.0,1,4.0,0.893425,0.106575,0.0
0.0,1,4.1,0.889475,0.110525,0.0
0.0,1,4.2,0.8856,0.1144,0.0
0.0,1,4.3,0.88195,0.11805,0.0
