Percent,Sample,Time,Healthy,Infected,Dead
0.0,1.0,0.0,0.9892,0.0108,0.0
0.0,1.0,0.1,0.9892,0.0108,0.0
0.0,1.0,0.2,0.9892,0.0108,0.0
0.0,1.0,0.3,0.9892,0.0108,0.0
0.0,1.0,0.4,0.9892,0.0108,0.0
0.0,1.0,0.5,0.9892,0.0108,0.0
0.0,1.0,0.6,0.9892,0.0108,0.0
0.0,1.0,0.7,0.9892,0.0108,0.0
0.0,1.0,0.8,0.9872,0.0128,0.0
0.0,1.0,0.9,0.9872,0.0128,0.0
0.0,1.0,1.0,0.9872,0.0128,0.0
0.0,1.0,1.1,0.9872,0.0128,0.0
0.0,1.0,1.2,0.9836,0.0164,0.0
0.0,1.0,1.3,0.9836,0.0164,0.0
0.0,1.0,1.4,0.9804,0.0196,0.0
0.0,1.0,1.5,0.9768,0.0232,0.0
0.0,1.0,1.6,0.9692,0.0308,0.0
0.0,1.0,1.7,0.9684,0.0316,0.0
0.0,1.0,1.8,0.9684,0.0316,0.0
0.0,1.0,1.9,0.962,0.038,0.0
0.0,1.0,2.0,0.9544,0.0456,0.0
0.0,1.0,2.1,0.9544,0.0456,0.0
0.0,1.0,2.2,0.9544,0.0456,0.0
0.0,1.0,2.3,0.95,0.05,0.0
0.0,1.0,2.4,0.95,0.05,0.0
0.0,1.0,2.5,0.946,0.054,0.0
0.0,1.0,2.6,0.9396,0.0604,0.0
0.0,1.0,2.7,0.9368,0.0632,0.0
0.0,1.0,2.8,0.9352,0.0648,0.0
0.0,1.0,2.9,0.9352,0.0648,0.0
0.0,1.0,3.0,0.9312,0.0688,0.0
0.0,1.0,3.1,0.9276,0.0724,0.0
0.0,1.0,3.2,0.9276,0.0724,0.0
0.0,1.0,3.3,0.9276,0.0724,0.0
0.0,1.0,3.4,0.924,0.076,0.0
0.0,1.0,3.5,0.922,0.078,0.0
0.0,1.0,3.6,0.914,0.086,0.0
0.0,1.0,3.7,0.9116,0.0884,0.0
0.0,1.0,3.8,0.9048,0.0952,0.0
0.0,1.0,3.9,0.9016,0.0984,0.0
0.0,1.0,4.0,0.8988,0.1012,0.0
0.0,1.0,4.1,0.8956,0.1044,0.0
0.0,1.0,4.2,0.8876,0.1124,0.0
0.0,1.0,4.3,0.8868,0.1132,0.0
0.0,1.0,4.4,0.8864,0.1136,0.0
0.0,1.0,4.5,0.882,0.118,0.0
0.0,1.0,4.6,0.882,0.118,0.0
0.0,1.0,4.7,0.8756,0.1244,0.0
0.0,1.0,4.8,0.8696,0.1304,0.0
0.0,1.0,4.9,0.8696,0.1304,0.0
0.0,1.0,5.0,0.8632,0.1368,0.0
0.0,1.0,5.1,0.8612,0.1388,0.0
0.0,1.0,5.2,0.8564,0.1436,0.0
0.0,1.0,5.3,0.8504,0.1496,0.0
0.0,1.0,5.4,0.8472,0.1528,0.0
0.0,1.0,5.5,0.8384,0.1616,0.0
0.0,1.0,5.6,0.8348,0.1652,0.0
0.0,1.0,5.7,0.8288,0.1704,0.0008
0.0,1.0,5.8,0.8232,0.176,0.0008
0.0,1.0,5.9,0.8152,0.184,0.0008
0.0,1.0,6.0,0.814,0.1852,0.0008
0.0,1.0,6.1,0.8088,0.1904,0.0008
0.0,1.0,6.2,0.808,0.1912,0.0008
0.0,1.0,6.3,0.8052,0.194,0.0008
0.0,1.0,6.4,0.796,0.2032,0.0008
0.0,1.0,6.5,0.7896,0.2092,0.0012
0.0,1.0,6.6,0.7848,0.214,0.0012
0.0,1.0,6.7,0.7772,0.2216,0.0012
0.0,1.0,6.8,0.7728,0.226,0.0012
0.0,1.0,6.9,0.7684,0.23,0.0016
